Received at: 2019-02-02 20:52:29.157268 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.173170 ['60', 'C0', 'BF', 'C0', '85', '80', '84', '80', 'D7', '0F']
Received at: 2019-02-02 20:52:29.173243 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.189173 ['60', 'C0', 'BF', 'C0', '85', '80', '84', '80', 'D7', '0F']
Received at: 2019-02-02 20:52:29.205146 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.221120 ['60', 'C0', 'BF', 'C0', '85', '80', '84', '80', 'D7', '0F']
Received at: 2019-02-02 20:52:29.221200 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.237144 ['60', 'BF', 'BF', 'C0', 'BD', '80', '84', '80', 'A0', '0F']
Received at: 2019-02-02 20:52:29.237220 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.253115 ['60', 'BF', 'BF', 'C0', 'BD', '80', '84', '80', 'A0', '0F']
Received at: 2019-02-02 20:52:29.253188 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.269117 ['60', 'BF', 'BF', 'C0', 'BD', '80', '84', '80', 'A0', '0F']
Received at: 2019-02-02 20:52:29.285108 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.301072 ['60', 'BF', 'BF', 'C0', 'B4', '80', '84', '80', 'A9', '0F']
Received at: 2019-02-02 20:52:29.301144 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.317094 ['60', 'BF', 'BF', 'C0', 'BD', '80', '84', '80', 'A0', '0F']
Received at: 2019-02-02 20:52:29.317164 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.333079 ['60', 'C0', 'BF', 'C0', '85', '80', '84', '80', 'D7', '0F']
Received at: 2019-02-02 20:52:29.333150 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.349067 ['60', 'C0', 'BF', 'C0', '85', '80', '84', '80', 'D7', '0F']
Received at: 2019-02-02 20:52:29.365013 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.381007 ['60', 'C0', 'BF', 'C0', '85', '80', '84', '80', 'D7', '0F']
Received at: 2019-02-02 20:52:29.381079 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.397050 ['60', 'BF', 'BF', 'C0', 'BD', '80', '84', '80', 'A0', '0F']
Received at: 2019-02-02 20:52:29.397127 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.413019 ['60', 'C0', 'BF', 'C0', '85', '80', '84', '80', 'D7', '0F']
