Received at: 2019-04-03 17:20:27.401242 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.417192 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.417256 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.433183 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.449190 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.449243 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.465168 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.465224 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.481169 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.497145 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.497220 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.513157 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.529120 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.529175 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.545120 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:27.545173 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.561120 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:27.577071 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.577128 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:27.593122 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.609107 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
