Received at: 2019-04-03 17:10:33.213195 ['60', 'A6', 'C0', '80', '80', '80', '84', '80', 'B5']
Received at: 2019-04-03 17:10:33.229190 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:10:33.245182 ['60', 'A0', 'C0', '80', '85', '80', '84', '80', 'B6']
Received at: 2019-04-03 17:10:33.245233 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:10:33.261211 ['60', '9A', 'C1', '80', '91', '80', '84', '80', 'AF']
Received at: 2019-04-03 17:10:33.261278 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:10:33.277187 ['60', '95', 'C1', '80', '93', '80', '84', '80', 'B2']
Received at: 2019-04-03 17:10:33.277240 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 17:10:33.293160 ['60', '91', 'C1', '80', '8E', '80', '84', '80', 'BB']
Received at: 2019-04-03 17:10:33.309163 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 17:10:33.325129 ['60', '8D', 'C1', '80', 'AF', '80', '84', '80', '9E']
Received at: 2019-04-03 17:10:33.325182 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 17:10:33.341171 ['60', '89', 'C1', '80', 'BC', '80', '84', '80', '95']
Received at: 2019-04-03 17:10:33.341245 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 17:10:33.357121 ['60', '87', 'C1', '80', '8B', '80', '84', '80', 'C8']
Received at: 2019-04-03 17:10:33.357183 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 17:10:33.373132 ['60', '84', 'C1', '80', 'B9', '80', '84', '80', '9D']
Received at: 2019-04-03 17:10:33.389086 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 17:10:33.405080 ['60', '83', 'C0', '80', '87', '80', '84', '80', 'D1']
Received at: 2019-04-03 17:10:33.405135 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
