Received at: 2019-04-03 16:17:26.740612 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.740664 ['60', 'C1', 'BE', '80', '96', '80', '84', '80', '86']
Received at: 2019-04-03 16:17:26.756615 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.772623 ['60', 'C1', 'BD', '80', '97', '80', '84', '80', '86']
Received at: 2019-04-03 16:17:26.772675 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.788600 ['60', 'C1', 'BD', '80', '8D', '80', '84', '80', '90']
Received at: 2019-04-03 16:17:26.788652 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.804608 ['60', 'C1', 'BD', '80', '8D', '80', '84', '80', '90']
Received at: 2019-04-03 16:17:26.820573 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.820625 ['60', 'C1', 'BD', '80', '93', '80', '84', '80', '8A']
Received at: 2019-04-03 16:17:26.836573 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.852581 ['60', 'C1', 'BC', '80', '9F', '80', '84', '80', 'FF']
Received at: 2019-04-03 16:17:26.852632 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.868562 ['60', 'C1', 'BC', '80', '9C', '80', '84', '80', '82']
Received at: 2019-04-03 16:17:26.868617 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.884538 ['60', 'C1', 'BC', '80', '9A', '80', '84', '80', '84']
Received at: 2019-04-03 16:17:26.900502 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.900553 ['60', 'C1', 'BB', '80', '98', '80', '84', '80', '87']
Received at: 2019-04-03 16:17:26.916535 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.932497 ['60', 'C1', 'B7', '80', 'A3', '80', '84', '80', '80']
Received at: 2019-04-03 16:17:26.932549 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.948497 ['60', 'C1', 'B2', '80', 'A6', '80', '84', '80', '82']
Received at: 2019-04-03 16:17:26.948548 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.964524 ['60', 'C1', 'AE', '80', '98', '80', '84', '80', '94']
Received at: 2019-04-03 16:17:26.980465 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:26.980516 ['60', 'C1', 'A8', '80', '8E', '80', '84', '80', 'A4']
Received at: 2019-04-03 16:17:26.996464 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:27.012454 ['60', 'C0', 'A4', '80', 'A9', '80', '84', '80', '8E']
Received at: 2019-04-03 16:17:27.012511 ['61', 'B1', '89', 'C0', '80', '80', '80', '80', 'A4']
Received at: 2019-04-03 16:17:27.028457 ['60', 'BF', 'A1', '80', 'B1', '80', '84', '80', '8A']
Received at: 2019-04-03 16:17:27.028510 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '80', '84']
Received at: 2019-04-03 16:17:27.044425 ['60', 'BF', '9F', '80', '85', '80', '84', '80', 'B8']
Received at: 2019-04-03 16:17:27.060434 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '80', '84']
Received at: 2019-04-03 16:17:27.060522 ['60', 'BE', '9D', '80', '90', '80', '84', '80', 'B0']
Received at: 2019-04-03 16:17:27.076442 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '80', '84']
Received at: 2019-04-03 16:17:27.092419 ['60', 'BD', '9B', '80', 'BA', '80', '84', '80', '89']
Received at: 2019-04-03 16:17:27.092484 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '80', '84']
Received at: 2019-04-03 16:17:27.108423 ['60', 'BD', '99', '80', 'BA', '80', '84', '80', '8B']
Received at: 2019-04-03 16:17:27.108484 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '80', '84']
Received at: 2019-04-03 16:17:27.124389 ['60', 'BD', '96', '80', 'AB', '80', '84', '80', '9D']
Received at: 2019-04-03 16:17:27.140359 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '80', '84', '1A', 'A5', 'A7', '99']
Received at: 2019-04-03 16:17:27.140417 ['60', 'BD', '93', '80', 'A1', '80', '84', '80', 'AA']
Received at: 2019-04-03 16:17:27.156359 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '80', '84']
Received at: 2019-04-03 16:17:27.172341 ['60', 'BD', '90', '80', '9B', '80', '84', '80', 'B3']
Received at: 2019-04-03 16:17:27.172393 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '81', '83']
Received at: 2019-04-03 16:17:27.188343 ['60', 'BD', '8E', '80', '9C', '80', '84', '80', 'B4']
Received at: 2019-04-03 16:17:27.188394 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '81', '83']
Received at: 2019-04-03 16:17:27.204320 ['60', 'BD', '8D', '80', '92', '80', '84', '80', 'BF']
Received at: 2019-04-03 16:17:27.220284 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '81', '83']
Received at: 2019-04-03 16:17:27.220335 ['60', 'BD', '8C', '80', '8F', '80', '84', '80', 'C3']
Received at: 2019-04-03 16:17:27.236300 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '81', '83']
Received at: 2019-04-03 16:17:27.252302 ['60', 'BC', '8C', '80', 'BE', '80', '84', '80', '95']
Received at: 2019-04-03 16:17:27.252355 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '81', '83']
Received at: 2019-04-03 16:17:27.268345 ['60', 'BC', '8B', '80', 'A7', '80', '84', '80', 'AD']
Received at: 2019-04-03 16:17:27.268470 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '82', '82']
Received at: 2019-04-03 16:17:27.284339 ['60', 'BC', '8A', '80', '86', '80', '84', '80', 'CF']
Received at: 2019-04-03 16:17:27.300247 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '82', '82']
Received at: 2019-04-03 16:17:27.300335 ['60', 'BB', '8A', '80', '94', '80', '84', '80', 'C2']
Received at: 2019-04-03 16:17:27.316232 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '82', '82']
Received at: 2019-04-03 16:17:27.332238 ['60', 'BA', '8A', '80', 'B0', '80', '84', '80', 'A7']
Received at: 2019-04-03 16:17:27.332294 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '82', '82']
Received at: 2019-04-03 16:17:27.348220 ['60', 'BA', '8A', '80', 'A0', '80', '84', '80', 'B7']
Received at: 2019-04-03 16:17:27.348283 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '82', '82']
Received at: 2019-04-03 16:17:27.364239 ['60', 'BA', '8A', '80', '90', '80', '84', '80', 'C7']
Received at: 2019-04-03 16:17:27.380153 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '83', '81']
Received at: 2019-04-03 16:17:27.380207 ['60', 'BA', '89', '80', '87', '80', '84', '80', 'D1']
Received at: 2019-04-03 16:17:27.396188 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '83', '81']
Received at: 2019-04-03 16:17:27.412170 ['60', 'B9', '89', '80', 'B0', '80', '84', '80', 'A9']
Received at: 2019-04-03 16:17:27.412222 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '83', '81']
Received at: 2019-04-03 16:17:27.428167 ['60', 'B9', '88', '80', 'B5', '80', '84', '80', 'A5']
Received at: 2019-04-03 16:17:27.428219 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '83', '81']
Received at: 2019-04-03 16:17:27.444169 ['60', 'B9', '88', '80', 'B4', '80', '84', '80', 'A6']
Received at: 2019-04-03 16:17:27.460108 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '83', '81']
Received at: 2019-04-03 16:17:27.460160 ['60', 'B9', '88', '80', 'B4', '80', '84', '80', 'A6']
Received at: 2019-04-03 16:17:27.476178 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '84', '80']
Received at: 2019-04-03 16:17:27.492186 ['60', 'B9', '88', '80', 'B5', '80', '84', '80', 'A5']
Received at: 2019-04-03 16:17:27.492273 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '84', '80']
Received at: 2019-04-03 16:17:27.508166 ['60', 'B9', '88', '80', 'AC', '80', '84', '80', 'AE']
