Received at: 2019-04-03 16:22:14.777703 ['60', 'C1', 'BE', '80', '94', '80', '84', '80', '88']
Received at: 2019-04-03 16:22:14.777756 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.793702 ['60', 'C1', 'BE', '80', '94', '80', '84', '80', '88']
Received at: 2019-04-03 16:22:14.793755 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.809678 ['60', 'C1', 'BE', '80', '9F', '80', '84', '80', 'FD']
Received at: 2019-04-03 16:22:14.825644 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.825695 ['60', 'C1', 'BF', '80', 'A8', '80', '84', '80', 'F3']
Received at: 2019-04-03 16:22:14.841649 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.857633 ['60', 'C1', 'BF', '80', 'A1', '80', '84', '80', 'FA']
Received at: 2019-04-03 16:22:14.857685 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.873634 ['60', 'C1', 'BF', '80', 'A1', '80', '84', '80', 'FA']
Received at: 2019-04-03 16:22:14.873686 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.889609 ['60', 'C1', 'BF', '80', '9B', '80', '84', '80', '80']
Received at: 2019-04-03 16:22:14.905574 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.905625 ['60', 'C1', 'BF', '80', '96', '80', '84', '80', '85']
Received at: 2019-04-03 16:22:14.921581 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.937587 ['60', 'C1', 'C0', '80', '94', '80', '84', '80', '86']
Received at: 2019-04-03 16:22:14.937638 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.953563 ['60', 'C1', 'C3', '80', '97', '80', '84', '80', '80']
Received at: 2019-04-03 16:22:14.953614 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.969564 ['60', 'C1', 'C9', '80', '8A', '80', '84', '80', '87']
Received at: 2019-04-03 16:22:14.985504 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.985555 ['60', 'C0', 'CF', '80', 'B8', '80', '84', '80', 'D4']
Received at: 2019-04-03 16:22:15.001537 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:15.017544 ['60', 'C0', 'D5', '80', '9D', '80', '84', '80', 'E9']
Received at: 2019-04-03 16:22:15.017595 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:15.033520 ['60', 'C0', 'DA', '80', '8C', '80', '84', '80', 'F5']
Received at: 2019-04-03 16:22:15.033572 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:15.049520 ['60', 'BF', 'DF', '80', 'B0', '80', '84', '80', 'CD']
Received at: 2019-04-03 16:22:15.065459 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:15.065510 ['60', 'BF', 'E3', '80', '83', '80', '84', '80', 'F6']
Received at: 2019-04-03 16:22:15.081492 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:15.097552 ['60', 'BE', 'E7', '80', '8E', '80', '84', '80', 'E8']
Received at: 2019-04-03 16:22:15.097676 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '80', '85']
Received at: 2019-04-03 16:22:15.113511 ['60', 'BD', 'EB', '80', '94', '80', '84', '80', 'DF']
Received at: 2019-04-03 16:22:15.113592 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '80', '85']
Received at: 2019-04-03 16:22:15.129483 ['60', 'BC', 'EE', '80', 'A5', '80', '84', '80', 'CC']
Received at: 2019-04-03 16:22:15.145423 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '80', '85']
Received at: 2019-04-03 16:22:15.145485 ['60', 'BC', 'F0', '80', '96', '80', '84', '80', 'D9']
Received at: 2019-04-03 16:22:15.161452 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '80', '85']
Received at: 2019-04-03 16:22:15.177431 ['60', 'BC', 'F2', '80', '90', '80', '84', '80', 'DD']
Received at: 2019-04-03 16:22:15.177485 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '80', '85']
Received at: 2019-04-03 16:22:15.193407 ['60', 'BC', 'F2', '80', '9E', '80', '84', '80', 'CF']
Received at: 2019-04-03 16:22:15.193460 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '81', '84']
Received at: 2019-04-03 16:22:15.209407 ['60', 'BC', 'F3', '80', 'A5', '80', '84', '80', 'C7']
Received at: 2019-04-03 16:22:15.225344 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '81', '84']
Received at: 2019-04-03 16:22:15.225396 ['60', 'BC', 'F4', '80', 'B4', '80', '84', '80', 'B7']
Received at: 2019-04-03 16:22:15.241376 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '81', '84']
Received at: 2019-04-03 16:22:15.257362 ['60', 'BD', 'F4', '80', '87', '80', '84', '80', 'E3']
Received at: 2019-04-03 16:22:15.257415 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '81', '84']
Received at: 2019-04-03 16:22:15.273362 ['60', 'BD', 'F6', '80', '88', '80', '84', '80', 'E0']
Received at: 2019-04-03 16:22:15.273413 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '81', '84']
Received at: 2019-04-03 16:22:15.289335 ['60', 'BD', 'F7', '80', '83', '80', '84', '80', 'E4']
Received at: 2019-04-03 16:22:15.305340 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '81', '84']
Received at: 2019-04-03 16:22:15.305418 ['60', 'BC', 'F8', '80', 'BD', '80', '84', '80', 'AA']
Received at: 2019-04-03 16:22:15.321318 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '82', '83']
Received at: 2019-04-03 16:22:15.337322 ['60', 'BC', 'F9', '80', 'B8', '80', '84', '80', 'AE']
Received at: 2019-04-03 16:22:15.337378 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '82', '83']
Received at: 2019-04-03 16:22:15.353303 ['60', 'BC', 'F9', '80', 'B0', '80', '84', '80', 'B6']
Received at: 2019-04-03 16:22:15.353362 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '82', '83']
Received at: 2019-04-03 16:22:15.369302 ['60', 'BC', 'F9', '80', 'A9', '80', '84', '80', 'BD']
Received at: 2019-04-03 16:22:15.385233 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '82', '83']
Received at: 2019-04-03 16:22:15.385286 ['60', 'BC', 'F9', '80', 'B9', '80', '84', '80', 'AD']
Received at: 2019-04-03 16:22:15.401288 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '82', '83']
Received at: 2019-04-03 16:22:15.417249 ['60', 'BC', 'F9', '80', 'B9', '80', '84', '80', 'AD']
Received at: 2019-04-03 16:22:15.417301 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '83', '82']
Received at: 2019-04-03 16:22:15.433248 ['60', 'BC', 'F9', '80', 'BA', '80', '84', '80', 'AC']
Received at: 2019-04-03 16:22:15.433300 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '83', '82']
Received at: 2019-04-03 16:22:15.449225 ['60', 'BC', 'F9', '80', 'B9', '80', '84', '80', 'AD']
Received at: 2019-04-03 16:22:15.465205 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '83', '82', '1A', 'A5', 'A7', '99']
Received at: 2019-04-03 16:22:15.465259 ['60', 'BC', 'F9', '80', 'B9', '80', '84', '80', 'AD']
Received at: 2019-04-03 16:22:15.481220 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '83', '82']
Received at: 2019-04-03 16:22:15.497202 ['60', 'BC', 'F9', '80', 'BA', '80', '84', '80', 'AC']
Received at: 2019-04-03 16:22:15.497254 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '84', '81']
Received at: 2019-04-03 16:22:15.513253 ['60', 'BD', 'F9', '80', '82', '80', '84', '80', 'E3']
Received at: 2019-04-03 16:22:15.513336 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '84', '81']
Received at: 2019-04-03 16:22:15.529219 ['60', 'BD', 'F9', '80', '8A', '80', '84', '80', 'DB']
Received at: 2019-04-03 16:22:15.545147 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '84', '81']
Received at: 2019-04-03 16:22:15.545204 ['60', 'BD', 'F9', '80', '9A', '80', '84', '80', 'CB']
