Received at: 2019-04-03 15:59:51.583795 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 15:59:51.599712 ['60', 'C1', 'BE', '80', '9F', '80', '84', '80', 'FD']
Received at: 2019-04-03 15:59:51.599763 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 15:59:51.615680 ['60', 'C1', 'BE', '80', '9E', '80', '84', '80', 'FE']
Received at: 2019-04-03 15:59:51.631669 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 15:59:51.647661 ['60', 'C1', 'BE', '80', '9F', '80', '84', '80', 'FD']
Received at: 2019-04-03 15:59:51.647710 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 15:59:51.663660 ['60', 'C1', 'BE', '80', '9E', '80', '84', '80', 'FE']
Received at: 2019-04-03 15:59:51.663710 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 15:59:51.679661 ['60', 'C1', 'BE', '80', '9F', '80', '84', '80', 'FD']
Received at: 2019-04-03 15:59:51.679711 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 15:59:51.695636 ['60', 'C1', 'BE', '80', '9E', '80', '84', '80', 'FE']
Received at: 2019-04-03 15:59:51.711626 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 15:59:51.727587 ['60', 'C1', 'BE', '80', '9E', '80', '84', '80', 'FE']
Received at: 2019-04-03 15:59:51.727637 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 15:59:51.743612 ['60', 'C1', 'BE', '80', 'A6', '80', '84', '80', 'F6']
Received at: 2019-04-03 15:59:51.743661 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 15:59:51.759588 ['60', 'C1', 'BE', '80', 'AD', '80', '84', '80', 'EF']
Received at: 2019-04-03 15:59:51.759637 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 15:59:51.775583 ['60', 'C1', 'BE', '80', 'A5', '80', '84', '80', 'F7']
Received at: 2019-04-03 15:59:51.791582 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 15:59:51.807535 ['60', 'C1', 'BE', '80', 'A4', '80', '84', '80', 'F8']
Received at: 2019-04-03 15:59:51.807584 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 15:59:51.823566 ['60', 'C1', 'BE', '80', 'A5', '80', '84', '80', 'F7']
Received at: 2019-04-03 15:59:51.823619 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 15:59:51.839565 ['60', 'C1', 'BE', '80', 'AC', '80', '84', '80', 'F0']
Received at: 2019-04-03 15:59:51.839614 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 15:59:51.855540 ['60', 'C1', 'BE', '80', 'AC', '80', '84', '80', 'F0']
Received at: 2019-04-03 15:59:51.871526 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 15:59:51.887486 ['60', 'C2', 'BE', '80', '8C', '80', '84', '80', '8F']
Received at: 2019-04-03 15:59:51.887536 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 15:59:51.903517 ['60', 'C3', 'BE', '80', '9B', '80', '84', '80', 'FF']
Received at: 2019-04-03 15:59:51.903567 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 15:59:51.919536 ['60', 'C5', 'BE', '80', '99', '80', '84', '80', 'FF']
Received at: 2019-04-03 15:59:51.919616 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 15:59:51.935496 ['60', 'C7', 'BE', '80', 'BB', '80', '84', '80', 'DB']
Received at: 2019-04-03 15:59:51.951444 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 15:59:51.967446 ['60', 'CA', 'BE', '80', '85', '80', '84', '80', '8E']
Received at: 2019-04-03 15:59:51.967506 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 15:59:51.983442 ['60', 'CB', 'BE', '80', 'BC', '80', '84', '80', 'D6']
Received at: 2019-04-03 15:59:51.983494 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 15:59:51.999442 ['60', 'CE', 'BE', '80', '84', '80', '84', '80', '8B']
Received at: 2019-04-03 15:59:51.999493 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 15:59:52.015441 ['60', 'D0', 'BE', '80', '8E', '80', '84', '80', 'FF']
Received at: 2019-04-03 15:59:52.031391 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 15:59:52.047366 ['60', 'D2', 'BF', '80', 'A4', '80', '84', '80', 'E6']
Received at: 2019-04-03 15:59:52.047416 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 15:59:52.063393 ['60', 'D5', 'C0', '80', '83', '80', '84', '80', '83']
Received at: 2019-04-03 15:59:52.063443 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 15:59:52.079376 ['60', 'D7', 'C1', '80', 'A1', '80', '84', '80', 'E2']
Received at: 2019-04-03 15:59:52.079426 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 15:59:52.095368 ['60', 'DA', 'C1', '80', 'B7', '80', '84', '80', 'C9']
Received at: 2019-04-03 15:59:52.111340 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 15:59:52.127340 ['60', 'DD', 'C2', '80', 'B2', '80', '84', '80', 'CA']
Received at: 2019-04-03 15:59:52.127403 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC', '1A', 'A5', 'A7', '99']
Received at: 2019-04-03 15:59:52.143375 ['60', 'E1', 'C2', '80', '9B', '80', '84', '80', 'DD']
Received at: 2019-04-03 15:59:52.143454 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 15:59:52.159348 ['60', 'E5', 'C2', '80', '9E', '80', '84', '80', 'D6']
Received at: 2019-04-03 15:59:52.159401 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 15:59:52.175320 ['60', 'E9', 'C3', '80', '99', '80', '84', '80', 'D6']
Received at: 2019-04-03 15:59:52.191298 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 15:59:52.207269 ['60', 'ED', 'C2', '80', 'B7', '80', '84', '80', 'B5']
Received at: 2019-04-03 15:59:52.207320 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 15:59:52.223307 ['60', 'F1', 'C2', '80', 'AD', '80', '84', '80', 'BB']
Received at: 2019-04-03 15:59:52.223360 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 15:59:52.239272 ['60', 'F4', 'C2', '80', 'BE', '80', '84', '80', 'A7']
Received at: 2019-04-03 15:59:52.239322 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 15:59:52.255270 ['60', 'F7', 'C2', '80', 'A7', '80', '84', '80', 'BB']
Received at: 2019-04-03 15:59:52.271221 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 15:59:52.287215 ['60', 'F9', 'C3', '80', 'B8', '80', '84', '80', 'A7']
Received at: 2019-04-03 15:59:52.287266 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 15:59:52.303248 ['60', 'FB', 'C3', '80', 'B1', '80', '84', '80', 'AC']
Received at: 2019-04-03 15:59:52.303297 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 15:59:52.319265 ['60', 'FD', 'C3', '80', 'A1', '80', '84', '80', 'BA']
Received at: 2019-04-03 15:59:52.319342 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
